,date,region,confirmed,X,X2
105,2020-06-05,KE,430,430.190818700881,53.4311
106,2020-06-06,KE,455,454.11710328188303,53.3686
107,2020-06-07,KE,0,478.67761940857804,53.658
108,2020-05-02,KW,24,0.0,0.0
109,2020-05-03,KW,32,27.814045155280105,8.9155
110,2020-05-04,KW,35,39.5128388750271,17.1787
111,2020-05-05,KW,36,41.3586925495317,12.306
112,2020-05-06,KW,40,41.5187371741367,8.6612
113,2020-05-07,KW,47,44.1570070865749,7.9177
114,2020-05-08,KW,57,49.7850650940487,9.0435
115,2020-05-09,KW,61,58.6742142596755,11.5832
116,2020-05-10,KW,63,65.3696036025608,12.3596
117,2020-05-11,KW,68,69.4531325949816,11.5822
118,2020-05-12,KW,73,73.76593703706159,11.1067
119,2020-05-13,KW,75,78.2909884001688,10.8557
120,2020-05-14,KW,76,81.14433832433791,9.7757
121,2020-05-15,KW,87,82.36741233421091,8.0872
122,2020-05-16,KW,94,88.8664210801012,9.6073
123,2020-05-17,KW,105,96.3581439553315,11.2912
124,2020-05-18,KW,111,106.77183383604799,14.1248
125,2020-05-19,KW,118,115.73670079854799,15.5109
126,2020-05-20,KW,121,124.11290901097901,16.2528
127,2020-05-21,KW,134,129.506265129176,15.2324
128,2020-05-22,KW,141,139.133059153628,16.7054
129,2020-05-23,KW,143,147.802215313717,17.3174
130,2020-05-24,KW,147,152.632526748941,15.7432
131,2020-05-25,KW,150,156.242258018857,13.8969
132,2020-05-26,KW,154,158.64501052118402,11.8508
133,2020-05-27,KW,155,161.11233986293502,10.3282
134,2020-05-28,KW,156,161.989301773796,8.3246
135,2020-05-29,KW,163,162.040559699124,6.3614
136,2020-05-30,KW,168,165.495061235137,6.6759
137,2020-06-01,KW,195,170.044508930252,7.497000000000001
138,2020-06-02,KW,215,188.813267428867,15.6772
139,2020-06-03,KW,227,212.022668468184,24.2609
140,2020-06-04,KW,232,232.179655733919,29.1704
141,2020-06-05,KW,247,245.195496296371,29.1115
142,2020-06-06,KW,262,259.408870822081,29.703000000000003
143,2020-06-07,KW,0,274.373692312886,30.5523
144,2020-05-02,OTH,16,0.0,0.0
145,2020-05-03,OTH,16,18.542696770186698,5.9437
146,2020-05-04,OTH,21,16.548090927627403,0.9243
147,2020-05-05,OTH,22,22.7691306713956,5.7312
148,2020-05-06,OTH,22,24.5762949588972,5.207999999999999
149,2020-05-07,OTH,23,24.783730219933,3.9467
