,date,region,confirmed,1_day_change,3_day_change,7_day_change,1_day_change_rate,3_day_change_rate,7_day_change_rate,last_day,kalman_prediction,infected_rate
0,2020-05-02,DE,61,0,0,0,0.0,0.0,0.0,0,0.0,0.0
1,2020-05-03,DE,63,0,0,0,0.0,0.0,0.0,0,71.0,0.0
2,2020-05-04,DE,68,2,0,0,3.2786885245901676,0.0,0.0,63,67.0,0.4421052631578947
3,2020-05-05,DE,69,5,0,0,7.9365079365079305,0.0,0.0,68,72.0,0.47719298245614034
4,2020-05-06,DE,69,1,8,0,1.4705882352941124,13.114754098360649,0.0,69,73.0,0.4842105263157895
5,2020-05-07,DE,70,0,6,0,0.0,9.523809523809534,0.0,69,73.0,0.4842105263157895
6,2020-05-08,DE,76,1,2,0,1.449275362318847,2.941176470588225,0.0,70,73.0,0.49122807017543857
7,2020-05-09,DE,84,6,7,0,8.571428571428562,10.144927536231885,0.0,76,77.0,0.5333333333333333
8,2020-05-10,DE,88,8,15,23,10.526315789473696,21.739130434782616,37.704918032786885,84,84.0,0.5894736842105264
9,2020-05-11,DE,89,4,18,25,4.761904761904767,25.71428571428571,39.68253968253968,88,90.0,0.6175438596491228
10,2020-05-12,DE,91,1,13,21,1.1363636363636465,17.105263157894733,30.88235294117647,89,93.0,0.6245614035087719
11,2020-05-13,DE,97,2,7,22,2.2471910112359605,8.333333333333325,31.8840579710145,91,96.0,0.6385964912280702
12,2020-05-14,DE,97,6,9,28,6.593406593406592,10.22727272727273,40.57971014492754,97,100.0,0.6807017543859649
13,2020-05-15,DE,105,0,8,27,0.0,8.98876404494382,38.57142857142857,97,102.0,0.6807017543859649
14,2020-05-16,DE,108,8,14,29,8.247422680412363,15.384615384615374,38.1578947368421,105,107.0,0.7368421052631579
15,2020-05-17,DE,111,3,11,24,2.857142857142847,11.340206185567014,28.57142857142858,108,111.0,0.7578947368421053
16,2020-05-18,DE,114,3,14,23,2.777777777777768,14.432989690721643,26.136363636363647,111,115.0,0.7789473684210526
17,2020-05-19,DE,125,3,9,25,2.7027027027026973,8.571428571428562,28.08988764044944,114,118.0,0.8
18,2020-05-20,DE,136,11,17,34,9.649122807017552,15.740740740740744,37.362637362637365,125,126.0,0.8771929824561403
19,2020-05-21,DE,144,11,25,39,8.800000000000008,22.522522522522515,40.2061855670103,136,137.0,0.9543859649122807
20,2020-05-22,DE,161,8,30,47,5.882352941176472,26.315789473684205,48.453608247422686,144,147.0,1.0105263157894737
21,2020-05-23,DE,164,17,36,56,11.805555555555557,28.800000000000004,53.33333333333334,161,163.0,1.1298245614035087
